,date,Plate temp,scene temp,foreTotalRadiation,powerA,powerB,powerC,average power,foreWindSpeed,foreWindDirection,OT
32,2019/1/2 8:00,8.58,-7.9,346,4369.12,4428.84,4534.92,4444.29,2.8,282,9.363345862
33,2019/1/2 9:00,8.39,-8,352,4448.8,4488.51,4574.96,4504.09,2,278,9.500436634
34,2019/1/2 10:00,8.28,-7.4,351,4468.86,4488.51,4587.96,4515.11,1.2,287,9.53812862
35,2019/1/2 11:00,8.97,-7.2,353,4488.64,4494.98,4547.4,4510.34,1.3,281,9.567061807
36,2019/1/2 12:00,8.95,-7,360,4515.2,4554.81,4627,4565.67,2,280,9.632616198
37,2019/1/2 13:00,9.1,-6.7,361,4521.84,4567.51,4600.2,4563.18,2,276,9.638795743
38,2019/1/2 14:00,8.89,-6.4,362,4548.78,4566.87,4626.18,4580.61,2.3,277,9.666952386
39,2019/1/2 15:00,8.58,-6.4,364,4534.7,4600.9,4667.1,4600.9,2.3,277,9.67283446
40,2019/1/2 16:00,8.68,-6.4,365,4568.07,4607.52,4639.36,4604.98,3.2,278,9.696061157
41,2019/1/2 17:00,8.16,-5.7,372,4607.85,4627,4719.54,4651.46,1.7,282,9.780475125
42,2019/1/2 18:00,8.64,-6.2,374,4634.72,4667.52,4726.15,4676.13,2.8,277,9.834537337
43,2019/1/2 19:00,9.09,-5.8,374,4607.85,4647.63,4740.45,4665.31,3.6,264,9.806275566
44,2019/1/2 20:00,9.81,-5.2,376,4655,4679.4,4711.28,4681.89,1.7,276,9.896070605
45,2019/1/2 21:00,9.93,-5.4,376,4600.56,4659.13,4732.2,4663.96,2.6,268,9.820113595
46,2019/1/2 22:00,9.93,-5.3,376,4621.11,4653,4711.28,4661.8,2.1,282,9.838550081
47,2019/1/2 23:00,10.33,-5.4,374,4633.61,4618.24,4711.28,4654.38,1.7,270,9.854280031
48,2019/1/3 0:00,10.31,-4.9,375,4620.76,4645.95,4725.03,4663.91,3.1,280,9.837433323
49,2019/1/3 1:00,10.05,-5,374,4601.22,4633.2,4699.2,4644.54,2.2,278,9.801534641
50,2019/1/3 2:00,9.74,-5,373,4587.96,4633.61,4706.32,4642.63,3.3,243,9.775180263
51,2019/1/3 3:00,9.95,-4.7,370,4634.37,4633.61,4693.1,4653.69,2.7,270,9.831032516
52,2019/1/3 4:00,9.64,-4.5,362,4541.55,4581.6,4620.39,4581.18,2.5,253,9.665020988
53,2019/1/3 5:00,10.01,-4.7,358,4501.77,4541.76,4560.6,4534.71,2.2,268,9.595369521
54,2019/1/3 6:00,9.35,-4,341,4315.28,4335.92,4422.24,4357.81,3.8,268,9.202731194
55,2019/1/3 7:00,9.3,-4,339,4328.83,4342.56,4415.6,4362.33,2.2,258,9.223527059
56,2019/1/3 8:00,8.93,-4.3,336,4294.98,4295.9,4395.6,4328.83,3,277,9.145244612
57,2019/1/3 9:00,8.26,-3.5,330,4268.8,4315.28,4381.8,4321.96,4.2,277,9.101057397
58,2019/1/3 10:00,7.68,-4.1,324,4253.36,4280.28,4294.4,4276.01,4.6,274,9.016137292
59,2019/1/3 11:00,7.03,-3.9,316,4125.49,4158.58,4226.44,4170.17,5.9,288,8.799822703
60,2019/1/3 12:00,6.76,-3.9,309,4110.75,4158,4219.24,4162.66,5.8,275,8.772716236
61,2019/1/3 13:00,6.76,-3.7,300,4110.08,4091.18,4145.1,4115.45,3.1,283,8.686780694
62,2019/1/3 14:00,6.78,-4.1,298,4006.98,4003.56,4064.92,4025.15,4.9,277,8.500604594
63,2019/1/3 15:00,6.57,-3.7,290,3881.25,3933.37,4023.78,3946.13,3.9,271,8.305984672
64,2019/1/3 16:00,6.5,-3.7,287,3939.18,3968.12,3989.25,3965.52,5.6,258,8.369689493
65,2019/1/3 17:00,5.81,-3.5,274,3822.77,3856.72,3881.25,3853.58,5,281,8.129785602
66,2019/1/3 18:00,5.56,-3.8,267,3770.16,3780.8,3838.59,3796.52,5.1,279,8.014506561
67,2019/1/3 19:00,5.56,-3.8,267,3770.16,3780.8,3838.59,3796.52,5.1,279,8.014506561
68,2019/1/3 20:00,5.78,-3.3,254,3697.83,3693.76,3709.96,3700.52,4.4,266,7.823631161
69,2019/1/3 21:00,5.29,-3.3,236,3469.64,3473.1,3585.12,3509.29,3.8,267,7.408896095
70,2019/1/3 22:00,4.83,-3.4,203,3262.68,3255.18,3303.72,3273.86,5,281,6.968055445
71,2019/1/3 23:00,4.56,-3.2,195,3162.29,3178.12,3223.76,3188.06,3.3,278,6.769756624
72,2019/1/4 0:00,4.53,-3.2,180,3078,3078,3098.52,3084.84,3.7,274,6.569853306
73,2019/1/4 1:00,4.45,-3.2,177,3027.7,3016.83,3075.82,3040.12,2.8,280,6.47683247
74,2019/1/4 2:00,2.7,-3.4,133,2600.64,2620.52,2655.68,2625.61,3.6,277,5.563532672
75,2019/1/4 3:00,2.31,-3.4,126,2532.3,2542.41,2580,2551.57,4.7,259,5.403954544
76,2019/1/4 4:00,1.85,-3.4,124,2439.45,2446.29,2556.7,2480.81,3.8,250,5.20086023
77,2019/1/4 5:00,1.47,-3.4,100,2293.5,2279.97,2310.38,2294.62,3.8,275,4.828878312
78,2019/1/4 6:00,1.91,-3.4,20,1861.48,1925.15,2009.7,1932.11,2.7,263,3.943035918
79,2019/1/4 7:00,1.56,-3.4,16,1741.32,1748.23,1773.3,1754.28,2.5,243,3.581687917
80,2019/1/4 8:00,0.74,-3.5,14,1577.76,1570.84,1568.57,1572.39,3.3,264,3.186497178
81,2019/1/4 9:00,0.37,-3.5,12,1511.1,1473.96,1492.56,1492.54,2.4,282,2.981897919
82,2019/1/4 10:00,-0.43,-3.6,11,1302.21,1290.3,1397.84,1330.12,3.1,279,2.570408936
83,2019/1/4 11:00,-1.02,-3.8,9,1243.47,1236.6,1226.42,1235.5,2.8,285,2.373424966
84,2019/1/4 12:00,-1.56,-3.9,8,1171.3,1186.8,1197.16,1185.09,2.9,271,2.239783042
85,2019/1/4 13:00,-2.31,-4,7,1107.68,1083.88,1077.02,1089.53,2,266,2.049708452
86,2019/1/4 14:00,-3.47,-4,6,870.66,923.26,1024.5,939.47,2.4,266,1.603676461
87,2019/1/4 15:00,-4.77,-4.1,3,213.28,855.6,860.58,643.15,2.9,266,0.625154066
88,2019/1/4 16:00,-6.41,-4.4,1,133.6,133,186.2,150.93,2.1,262,0.146529193
89,2019/1/4 17:00,0.01,0.1,1,0,0,0,0,0.1,1,0.379993053
90,2019/1/4 18:00,-6.1,-4.6,15,364.5,174.98,769.53,436.34,4.5,275,0.564661106
91,2019/1/4 19:00,-5.46,-4.4,27,811.84,254.19,946.68,670.9,3.9,265,1.268156273
92,2019/1/4 20:00,-4.52,-3.9,57,1268.54,333.6,1283.9,962.01,5,279,2.060996794
93,2019/1/4 21:00,-3.83,-3.9,57,1312.74,413,1348.3,1024.68,4.8,273,2.195669396
94,2019/1/4 22:00,-3.45,-3.7,60,1061.82,427.18,1074.15,854.38,4.2,274,1.768850243
95,2019/1/4 23:00,-2.95,-3.5,62,1157.02,611.6,1004.85,924.49,5.1,281,1.97850552
96,2019/1/5 0:00,-3.02,-2.9,75,781.96,841.2,961.86,861.67,4.3,280,1.483913814
97,2019/1/5 1:00,-2.85,-2.9,81,913.07,936.66,1009.44,953.06,5.4,266,1.781251607
98,2019/1/5 2:00,-2.48,-2.8,81,932.64,943.36,995.28,957.09,5.7,270,1.828329805
99,2019/1/5 3:00,-2.21,-2.6,97,1047,1057,1132.38,1078.79,5,280,2.039709824
100,2019/1/5 4:00,-2.02,-2.6,100,1094.29,1017.62,1092.72,1068.21,7.4,281,2.219470904
101,2019/1/5 5:00,-1.77,-2.4,111,1035.55,1082.64,1081.73,1066.64,5.2,277,2.042072444
102,2019/1/5 6:00,-1.62,-2.4,118,1162,1141.8,1133.24,1145.68,2.9,276,2.198234446
103,2019/1/5 7:00,-1.52,-2.4,121,1105.6,1127.96,1121.44,1118.33,4.4,277,2.148645083
104,2019/1/5 8:00,-1.29,-2.4,124,1086.44,1093.36,1106.07,1095.29,4.6,280,2.11960019
105,2019/1/5 9:00,-1.27,-2.4,125,1112.51,1116.18,1153.97,1127.55,2.4,285,2.131764344
106,2019/1/5 10:00,-1.21,-2.4,120,1032,1004.48,1022.14,1019.54,3.3,271,1.962651553
107,2019/1/5 11:00,-1.16,-2.4,120,983.84,979.55,996.15,986.51,2.8,280,1.863616882
108,2019/1/5 12:00,-1.1,-2.3,123,964.44,965.85,1004.92,978.4,2.5,281,1.834492721
109,2019/1/5 13:00,-1.04,-2.3,128,990.72,1006.95,1039.68,1012.45,2.4,272,1.914724975
110,2019/1/5 14:00,-0.96,-2.2,133,1096,1039.68,1101.24,1078.97,3.7,279,2.09345169
111,2019/1/5 15:00,-0.75,-2.1,133,1085.46,1083.88,1075.98,1081.77,4,274,2.103890489
112,2019/1/5 16:00,-0.83,-2.1,133,1009.89,1018.24,1041.93,1023.35,2.7,276,1.942338044
113,2019/1/5 17:00,-0.87,-2,133,978.12,983.52,1019.16,993.6,2.4,299,1.839847502
114,2019/1/5 18:00,-0.87,-2.1,135,1016.76,1026,1027.5,1023.42,3.8,274,1.963589185
115,2019/1/5 19:00,-0.81,-2,138,1027.5,1044.24,1070.16,1047.3,3,293,1.959526617
116,2019/1/5 20:00,0.22,-1.8,155,1321.72,1272.8,1272.24,1288.92,2.5,276,2.580647791
117,2019/1/5 21:00,0.47,-1.9,154,1166.2,1195.38,1210.68,1190.75,3.6,276,2.342432564
118,2019/1/5 22:00,0.51,-2,154,1178.2,1195.25,1179.86,1184.44,3.6,276,2.352521395
119,2019/1/5 23:00,0.66,-2,158,1207.36,1238.4,1219.3,1221.69,3.7,274,2.43542457
120,2019/1/6 0:00,0.93,-1.9,159,1224.64,1229.73,1262.24,1238.87,3,279,2.46100996
121,2019/1/6 1:00,0.87,-1.9,159,1197,1195.25,1262.24,1218.16,4.3,286,2.435644058
122,2019/1/6 2:00,1.26,-1.8,177,1382.88,1342.6,1356.3,1360.59,3.4,269,2.787519269
123,2019/1/6 3:00,1.32,-1.8,177,1342.6,1330.84,1388.52,1353.99,4.3,268,2.772492838
124,2019/1/6 4:00,1.49,-1.7,175,1356.3,1367.13,1356.3,1359.91,2.3,278,2.74614762
125,2019/1/6 5:00,1.49,-1.7,161,1135.44,1174.76,1167.93,1159.38,2.7,288,2.286346109
126,2019/1/6 6:00,1.18,-1.7,156,1113.29,1106.46,1108.4,1109.38,1.9,278,2.217032043
127,2019/1/6 7:00,1.12,-1.7,164,1101.24,1106.46,1145.76,1117.82,3.6,279,2.218041134
128,2019/1/6 8:00,1.12,-1.7,165,1138.94,1149.12,1174.76,1154.27,3.7,280,2.296775906
129,2019/1/6 9:00,1.18,-1.7,166,1142.28,1161.1,1171.32,1158.23,3.3,281,2.297075524
130,2019/1/6 10:00,1.41,-1.4,160,1130.25,1126.95,1169.64,1142.28,2.7,266,2.280330009
131,2019/1/6 11:00,1.39,-1.5,162,1125.3,1126.95,1184.94,1145.73,4.3,269,2.308676116
132,2019/1/6 12:00,1.39,-1.5,166,1164.5,1159.4,1229.4,1184.43,3.1,273,2.358522803
133,2019/1/6 13:00,1.83,-1.2,179,1401.48,1380.87,1402.2,1394.85,3.6,277,2.842669293
134,2019/1/6 14:00,2.06,-1.1,175,1361.16,1397.4,1415.88,1391.48,3.4,264,2.814183724
135,2019/1/6 15:00,2.45,-1.1,196,1900.25,1703.76,1668.96,1757.66,2.7,267,3.753436741
136,2019/1/6 16:00,3.47,-0.9,218,1566.3,1602.44,1708.56,1625.77,3.6,283,3.343475255
137,2019/1/6 17:00,3.62,-0.9,238,1643.62,1652.86,1791.03,1695.84,2.8,273,3.499100809
138,2019/1/6 18:00,3.93,-0.7,249,2027.6,1926.06,2066.46,2006.71,3.7,276,4.238051043
139,2019/1/6 19:00,4.26,-0.8,233,1780.02,1768,1827.9,1791.97,2.4,275,3.755238119
140,2019/1/6 20:00,4.29,-0.8,193,1271.97,1211.83,1403.46,1295.75,2.6,284,2.684298894
141,2019/1/6 21:00,3.06,-0.7,167,1139.04,1152.6,1174.5,1155.38,2.6,283,2.327772399
142,2019/1/6 22:00,2.74,-0.7,167,1135.6,1101.6,1154.25,1130.48,2.6,283,2.28500095
143,2019/1/6 23:00,2.35,-0.9,159,1052.45,1079.61,1078.4,1070.15,3,272,2.139682224
144,2019/1/7 0:00,2.04,-0.8,152,1047.2,1040.4,1059.75,1049.12,3.1,279,2.084514869
145,2019/1/7 1:00,1.93,-0.7,151,1016.18,1055.55,1035.81,1035.85,2.3,273,2.040797197
146,2019/1/7 2:00,1.8,-0.8,162,1074.4,1094.8,1118.7,1095.97,2.6,275,2.15940374
147,2019/1/7 3:00,2.33,-0.4,164,1374.84,1266.66,1235.78,1292.43,2.9,275,2.678284633
148,2019/1/7 4:00,2.41,-0.3,171,1193.5,1174.67,1233.96,1200.71,2.2,280,2.401444516
149,2019/1/7 5:00,2.58,-0.1,199,1756.95,1582.35,1432.2,1590.5,2.8,281,3.379270563
150,2019/1/7 6:00,9.58,0.7,457,4829.64,4968.36,5170.59,4989.53,2.9,274,10.34433944
151,2019/1/7 7:00,13.1,0.8,419,4888.94,4853.55,4850.88,4864.46,2.9,278,10.31931677
152,2019/1/7 8:00,15.41,1.3,348,4316.24,4315.68,4355,4328.97,1.7,267,9.272403463
153,2019/1/7 9:00,15.64,1.1,238,4205.5,4205.32,4095.84,4168.89,1.6,255,9.031615327
154,2019/1/7 10:00,15.68,1.1,283,3919.96,3385.04,2916,3407,2.7,272,7.797603572
155,2019/1/7 11:00,15.43,1.1,255,3494.72,4049.22,4037.04,3860.33,2.1,258,8.223106862
156,2019/1/7 12:00,14.76,0.9,230,2809.95,3074.5,1903.84,2596.1,2.5,272,5.952094067
157,2019/1/7 13:00,13.81,1,300,4047.52,4067.55,4107.37,4074.15,2.9,276,8.726891468
158,2019/1/7 14:00,13.83,1,299,3982.4,3983.3,4061.66,4009.12,2.7,284,8.597113221
159,2019/1/7 15:00,13.95,1.3,284,3936,3727.8,3727.8,3797.2,3.9,251,8.225596788
160,2019/1/7 16:00,12.37,1,220,3807.36,3938.9,3202.92,3649.73,3,272,7.997281907
161,2019/1/7 17:00,12.95,1.5,279,3842.72,3850.72,3897.84,3863.76,2.8,249,8.258570776
162,2019/1/7 18:00,12.33,1.6,242,2101.71,3019.68,2613.6,2578.33,3.1,277,5.470961699
163,2019/1/7 19:00,11.89,1.3,248,3638.72,3635.5,3671.64,3648.62,2.8,276,7.83269302
164,2019/1/7 20:00,12.12,1.5,225,3509.91,3125.5,3341.94,3325.78,2,279,7.257299287
165,2019/1/7 21:00,12.1,1.3,207,3351.27,3232.29,2976.21,3186.59,3.1,274,7.021068336
166,2019/1/7 22:00,11.06,1.1,190,2652,3240.32,3129.12,3007.15,3.2,262,6.415327901
167,2019/1/7 23:00,9.89,1,195,3217.89,3196.8,3293.24,3235.98,3.9,274,6.937479301
168,2019/1/8 0:00,9.95,1.3,184,3134.9,3139.6,3181.59,3152.03,2.9,278,6.765234211
169,2019/1/8 1:00,9.24,1.1,166,2892.01,2948,2866.15,2902.05,3.4,280,6.254970693
170,2019/1/8 2:00,7.91,1,127,2504.9,2584.32,2576.64,2555.29,2.9,272,5.435165576
171,2019/1/8 3:00,7.43,1,115,2383.29,2400.12,2464.77,2416.06,3.9,273,5.138194905
172,2019/1/8 4:00,6.95,0.8,23,2047.56,2020.44,2067.2,2045.07,2.2,273,4.286981762
173,2019/1/8 5:00,6.87,0.8,22,2003.05,1996.26,2041.52,2013.61,2,262,4.202429878
174,2019/1/8 6:00,6.74,0.8,22,1972,1985.6,2022.57,1993.39,2.1,271,4.148989044
175,2019/1/8 7:00,6.07,0.6,21,1820.94,1788.4,1815.6,1808.31,2.3,270,3.754171529
176,2019/1/8 8:00,4.62,0.3,16,1511.82,1520.86,1527.68,1520.12,2.9,276,3.060922861
177,2019/1/8 9:00,4.05,0.1,14,1441.13,1416.48,1432.2,1429.94,3.4,270,2.876168116
178,2019/1/8 10:00,0.31,-0.2,5,842.55,1032.08,1017.74,964.12,1.8,265,1.634785382
179,2019/1/8 11:00,-0.95,-0.3,4,202.2,414.16,972,529.45,1.8,275,0.504410158
180,2019/1/8 12:00,0.01,0.1,1,0,0,0,0,0.1,1,0.379993053
181,2019/1/8 13:00,-16.45,-13.8,6,285.04,116.28,271.6,224.31,0,242,0.283301636
182,2019/1/8 14:00,-15.17,-12.9,15,788.14,132.62,1181.4,700.72,0,257,1.157370511
183,2019/1/8 15:00,-14.66,-12.7,22,1239,140.4,1233.24,870.88,0,265,1.888241572
184,2019/1/8 16:00,-13.37,-12.5,30,1346.4,141.8,1372.23,953.48,0,266,2.09326096
185,2019/1/8 17:00,-11.35,-12.2,47,1485.26,191.97,1505.2,1060.81,0,279,2.364728112
186,2019/1/8 18:00,-9.87,-12,61,1665.76,220.1,1807.2,1231.02,0.7,281,2.687923703
187,2019/1/8 19:00,-8.93,-12.2,66,1759.1,1506.54,1844.08,1703.24,1.1,278,3.44818394
188,2019/1/8 20:00,-6.29,-10.9,82,1976.58,2005.04,2107.52,2029.71,0.6,280,4.122086666
189,2019/1/8 21:00,-4.48,-10.7,87,2118,2146.24,2172.27,2145.5,0,274,4.476084394
190,2019/1/8 22:00,-3.35,-10.2,95,2196.99,2197.9,2281.5,2225.46,0,277,4.677102229
191,2019/1/8 23:00,-2.52,-10,101,2230.2,2277.15,2365.74,2291.03,0.6,275,4.809004009
192,2019/1/9 0:00,-0.87,-9.2,117,2449.98,2453.44,2551.64,2485.02,1,276,5.287250875
193,2019/1/9 1:00,-0.64,-8.9,122,2495.56,2530.11,2595.56,2540.41,0.6,278,5.40474419
194,2019/1/9 2:00,1.16,-7.4,145,2715.63,2742.22,2819.46,2759.1,0,279,5.899155688
195,2019/1/9 3:00,2.14,-7.2,155,2841.44,2854.94,2956.66,2884.35,0,276,6.181797718
196,2019/1/9 4:00,2.08,-7.1,159,2892.27,2879.64,2953.06,2908.32,0,264,6.243951222
197,2019/1/9 5:00,1.83,-6.9,164,3007.15,2982.24,3039.35,3009.58,0,281,6.466505779
198,2019/1/9 6:00,2.01,-6.7,177,3038.98,3064.5,3175.95,3093.14,0.7,265,6.56259628
199,2019/1/9 7:00,4.16,-4,222,3423.9,3444.14,3561.02,3476.35,1.3,283,7.336673119
200,2019/1/9 8:00,4.26,-3.9,227,3451.02,3464.36,3608.41,3507.93,1.1,289,7.395290814
201,2019/1/9 9:00,4.78,-3.7,230,3555.76,3604.6,3643.64,3601.33,1,267,7.610949615
202,2019/1/9 10:00,5.01,-3,240,3631.5,3618,3727.22,3658.91,0.7,274,7.719875309
203,2019/1/9 11:00,5.14,-2.8,248,3677.44,3690.5,3757.6,3708.51,1.8,284,7.818196116
204,2019/1/9 12:00,5.14,-2.7,248,3728.42,3730.76,3803.52,3754.23,1.8,284,7.909750917
205,2019/1/9 13:00,5.83,-2.6,261,3808.1,3794.24,3904.32,3835.55,2.1,286,8.080550005
206,2019/1/9 14:00,6.51,-2.6,278,3969.86,3935.3,4034.72,3979.96,2,287,8.401158243
207,2019/1/9 15:00,6.51,-2.5,281,3984.96,3968.65,4068.12,4007.24,1.5,278,8.446221914
208,2019/1/9 16:00,6.7,-2.6,286,3999.16,4002.66,4082.04,4027.95,2.8,282,8.483728493
209,2019/1/9 17:00,6.45,-2.4,286,4031.27,4042.02,4148.28,4073.86,3,285,8.553397502
210,2019/1/9 18:00,6.62,-2.2,302,4133.36,4109.7,4241.46,4161.51,3.4,287,8.731875169
211,2019/1/9 19:00,6.62,-1.7,307,4172.6,4188.76,4262.4,4207.92,3,288,8.820484868
212,2019/1/9 20:00,7.07,-1.3,328,4315.28,4322.64,4428.9,4355.61,1.8,270,9.114595403
213,2019/1/9 21:00,6.66,-1.1,329,4395.2,4362.58,4435.56,4397.78,1.2,336,9.226962163
214,2019/1/9 22:00,7.6,-0.7,340,4389,4408.92,4488.19,4428.7,2,277,9.270611382
215,2019/1/9 23:00,7.53,-0.3,348,4488.91,4474.61,4547.68,4503.73,1,287,9.446661961
216,2019/1/10 0:00,6.91,-0.5,352,4522.44,4528.48,4588.24,4546.39,2.6,328,9.491427293
217,2019/1/10 1:00,6.85,-0.5,356,4542.4,4561.68,4628.4,4577.49,3,285,9.55294102
218,2019/1/10 2:00,6.93,-0.5,358,4555.76,4541.55,4648.68,4582,3.9,312,9.564394447
219,2019/1/10 3:00,7.76,0.2,363,4561.9,4574.12,4612.58,4582.87,1.7,273,9.598276261
220,2019/1/10 4:00,8.39,0.5,365,4568.07,4573.1,4659.6,4600.26,1.3,296,9.626131986
221,2019/1/10 5:00,8.91,0.5,365,4527.6,4586.64,4645.48,4586.57,2.9,274,9.596904517
222,2019/1/10 6:00,8.43,0.6,370,4614.8,4573.1,4665.72,4617.87,2,297,9.680810361
223,2019/1/10 7:00,8.08,0.5,369,4601.22,4599.42,4672.8,4624.48,3,286,9.674792886
224,2019/1/10 8:00,8.12,0.6,367,4595.15,4606,4639.8,4613.65,2,285,9.663497837
225,2019/1/10 9:00,9.29,1.5,369,4560.28,4551.41,4651.04,4587.58,2.8,290,9.608355128
226,2019/1/10 10:00,10.1,2.3,365,4553.69,4512.6,4565.35,4543.88,2,300,9.563027462
227,2019/1/10 11:00,9.83,2.1,364,4513.88,4545.3,4591.55,4550.24,1.6,296,9.53703402
228,2019/1/10 12:00,9.72,2.4,353,4474.61,4480.2,4539.52,4498.11,1.3,283,9.436871853
229,2019/1/10 13:00,10.2,2.4,346,4388.94,4408.15,4447.45,4414.85,2.5,293,9.27801703
230,2019/1/10 14:00,10.35,2.6,343,4349.4,4401.6,4408.15,4386.38,2.1,276,9.218867562
231,2019/1/10 15:00,10.37,2.6,340,4329.63,4349.28,4401.76,4360.22,1.8,264,9.161993616
232,2019/1/10 16:00,9.64,2.6,329,4243.62,4237.65,4316.49,4265.92,2.3,285,8.951435225
233,2019/1/10 17:00,9.91,2.6,325,4223.79,4211.37,4283.64,4239.6,2.2,351,8.911025579
234,2019/1/10 18:00,9.85,2.6,319,4111.42,4159.04,4257.26,4175.91,1.8,283,8.740558284
235,2019/1/10 19:00,9.76,2.6,311,4104.4,4119.39,4164.6,4129.46,3.1,283,8.687701371
236,2019/1/10 20:00,8.99,2.3,307,4089.75,4111.8,4144.12,4115.22,2.9,296,8.648090494
237,2019/1/10 21:00,8.37,2.3,302,4056.5,4012.8,4136.72,4068.67,2.4,303,8.52274092
238,2019/1/10 22:00,8.31,2.2,300,4035.96,4017.78,4111.02,4054.92,1.8,278,8.491842024
239,2019/1/10 23:00,8.01,2.5,293,3975.32,3964.08,4058.06,3999.15,2.7,282,8.361668884
240,2019/1/11 0:00,7.85,2.3,285,3921.96,3924.24,3984,3943.4,3.7,324,8.285000782
241,2019/1/11 1:00,7.68,2,278,3906.96,3851.2,3930.15,3896.1,2.5,355,8.204380458
242,2019/1/11 2:00,7.81,2.3,277,3827.64,3804.72,3917.6,3849.99,3.2,312,8.074787754
243,2019/1/11 3:00,7.76,2.2,266,3745.3,3810.45,3816.18,3790.64,3.3,285,7.953761401
244,2019/1/11 4:00,7.91,2.3,260,3717.34,3687.34,3730.65,3711.78,1.5,269,7.807098102
245,2019/1/11 5:00,7.91,2.3,260,3717.34,3687.34,3730.65,3711.78,1.5,269,7.807098102
246,2019/1/11 6:00,0.48,77.2,260,3711.8,3738.32,153.41,2534.51,3.8,257,7.807098102
247,2019/1/11 7:00,7.97,2.3,246,3613.88,3610.95,3644.2,3623.01,1.5,306,7.640785799
248,2019/1/11 8:00,8.37,2.5,241,3535.1,3551.1,3604.3,3563.5,2.5,278,7.496528387
249,2019/1/11 9:00,8.47,2.6,227,3400.12,3406.32,3477.95,3428.13,2.4,323,7.249446838
250,2019/1/11 10:00,8.01,2.1,224,3411.9,3409.92,3431.4,3417.74,2.3,328,7.256057925
251,2019/1/11 11:00,7.28,1.8,213,3341.58,3351.69,3388.36,3360.54,3.7,327,7.129758453
252,2019/1/11 12:00,6.95,1.8,208,3306.24,3288.31,3340,3311.52,1.1,306,6.988674346
